var(err)/var(mu) corr
0.05 0.00297007249676
0.1 -0.00461855291369
0.15 0.00538598911666
0.2 -0.000496154983238
0.25 -0.0120210150909
0.3 -0.0201942279012
0.35 -0.0281191445971
0.4 -0.06265850408
0.45 -0.0483574327022
0.5 -0.0562645101062
0.55 -0.0691916279581
0.6 -0.0950760391069
0.65 -0.131344047244
0.7 -0.140814781619
0.75 -0.153361463802
0.8 -0.177178093839
0.85 -0.184526701517
0.9 -0.214080529349
0.95 -0.216503510271
1.0 -0.220128589414
1.05 -0.281079005952
1.1 -0.262159673914
1.15 -0.287731650807
1.2 -0.319066986092
1.25 -0.335112540428
1.3 -0.332589176086
1.35 -0.358244492997
1.4 -0.356647637363
1.45 -0.389175767457
1.5 -0.411969082488
1.55 -0.43685601454
1.6 -0.431451945174
1.65 -0.441230177374
1.7 -0.468106104638
1.75 -0.459571437703
1.8 -0.491598282354
1.85 -0.496172291724
1.9 -0.515451120742
1.95 -0.527955557356
2.0 -0.532983286966
2.05 -0.54296005094
2.1 -0.573638150048
2.15 -0.573357510171
2.2 -0.575871314482
2.25 -0.595546724762
2.3 -0.612826668554
2.35 -0.618182786168
2.4 -0.628139961767
2.45 -0.64319279514
2.5 -0.643695485044
2.55 -0.648343311619
2.6 -0.664776396021
2.65 -0.671615208485
2.7 -0.676798455541
2.75 -0.684265705806
2.8 -0.684750762934
2.85 -0.694020210892
2.9 -0.701624919992
2.95 -0.707676987774
3.0 -0.723179182857
3.05 -0.721236735063
3.1 -0.734171859865
3.15 -0.74012680969
3.2 -0.740743133767
3.25 -0.75258784814
3.3 -0.758137546969
3.35 -0.760992664159
3.4 -0.763873410282
3.45 -0.765826095275
3.5 -0.777732692692
3.55 -0.77867321908
3.6 -0.780578178108
3.65 -0.793130241552
3.7 -0.800445961671
3.75 -0.801634668823
3.8 -0.798692687664
3.85 -0.80677358466
3.9 -0.815225006187
3.95 -0.813838607292
4.0 -0.819754443452
4.05 -0.82423906592
4.1 -0.829872604326
4.15 -0.827172100904
4.2 -0.831836812322
4.25 -0.836206027781
4.3 -0.834072469574
4.35 -0.840820790547
4.4 -0.83732732065
4.45 -0.843363229339
4.5 -0.849602081568
4.55 -0.847569321058
4.6 -0.855678132207
4.65 -0.861964344895
4.7 -0.857919942091
4.75 -0.865498402156
4.8 -0.87341009747
4.85 -0.867626675991
4.9 -0.869889666754
4.95 -0.875686437223
